observation_date,DCOILWTICO
2000-01-01,27.2595
2000-02-01,29.3660
2000-03-01,29.8417
2000-04-01,25.7221
2000-05-01,28.7882
2000-06-01,31.8223
2000-07-01,29.6968
2000-08-01,31.2639
2000-09-01,33.8840
2000-10-01,33.1086
2000-11-01,34.4171
2000-12-01,28.4365
2001-01-01,29.5857
2001-02-01,29.6095
2001-03-01,27.2445
2001-04-01,27.4900
2001-05-01,28.6291
2001-06-01,27.5990
2001-07-01,26.4248
2001-08-01,27.3739
2001-09-01,26.1995
2001-10-01,22.1696
2001-11-01,19.6350
2001-12-01,19.3889
2002-01-01,19.7148
2002-02-01,20.7237
2002-03-01,24.5310
2002-04-01,26.1791
2002-05-01,27.0414
2002-06-01,25.5185
2002-07-01,26.9662
2002-08-01,28.3850
2002-09-01,29.6635
2002-10-01,28.8365
2002-11-01,26.3521
2002-12-01,29.4610
2003-01-01,32.9471
2003-02-01,35.8284
2003-03-01,33.5133
2003-04-01,28.1705
2003-05-01,28.1086
2003-06-01,30.6624
2003-07-01,30.7545
2003-08-01,31.5738
2003-09-01,28.3114
2003-10-01,30.3383
2003-11-01,31.1083
2003-12-01,32.1290
2004-01-01,34.3100
2004-02-01,34.6847
2004-03-01,36.7413
2004-04-01,36.7500
2004-05-01,40.2750
2004-06-01,38.0252
2004-07-01,40.7781
2004-08-01,44.9032
2004-09-01,45.9357
2004-10-01,53.2805
2004-11-01,48.4690
2004-12-01,43.1495
2005-01-01,46.8370
2005-02-01,48.1489
2005-03-01,54.1868
2005-04-01,52.9790
2005-05-01,49.8338
2005-06-01,56.3523
2005-07-01,58.9955
2005-08-01,64.9852
2005-09-01,65.5867
2005-10-01,62.2600
2005-11-01,58.3225
2005-12-01,59.4119
2006-01-01,65.4850
2006-02-01,61.6311
2006-03-01,62.6852
2006-04-01,69.4437
2006-05-01,70.8441
2006-06-01,70.9509
2006-07-01,74.4111
2006-08-01,73.0430
2006-09-01,63.7980
2006-10-01,58.8932
2006-11-01,59.0825
2006-12-01,61.9590
2007-01-01,54.5062
2007-02-01,59.2789
2007-03-01,60.4418
2007-04-01,63.9770
2007-05-01,63.4545
2007-06-01,67.4890
2007-07-01,74.1176
2007-08-01,72.3561
2007-09-01,79.9147
2007-10-01,85.7987
2007-11-01,94.7724
2007-12-01,91.6870
2008-01-01,92.9705
2008-02-01,95.3860
2008-03-01,105.4540
2008-04-01,112.5805
2008-05-01,125.3976
2008-06-01,133.8800
2008-07-01,133.3709
2008-08-01,116.6662
2008-09-01,104.1143
2008-10-01,76.6087
2008-11-01,57.3095
2008-12-01,41.1218
2009-01-01,41.7100
2009-02-01,39.0874
2009-03-01,47.9391
2009-04-01,49.6467
2009-05-01,59.0285
2009-06-01,69.6409
2009-07-01,64.1523
2009-08-01,71.0448
2009-09-01,69.4081
2009-10-01,75.7155
2009-11-01,77.9900
2009-12-01,74.4700
2010-01-01,78.3258
2010-02-01,76.3874
2010-03-01,81.2035
2010-04-01,84.2929
2010-05-01,73.7435
2010-06-01,75.3359
2010-07-01,76.3195
2010-08-01,76.5991
2010-09-01,75.2419
2010-10-01,81.8929
2010-11-01,84.2529
2010-12-01,89.1459
2011-01-01,89.1705
2011-02-01,88.5784
2011-03-01,102.8565
2011-04-01,109.5325
2011-05-01,100.9005
2011-06-01,96.2641
2011-07-01,97.3035
2011-08-01,86.3330
2011-09-01,85.5152
2011-10-01,86.3224
2011-11-01,97.1605
2011-12-01,98.5629
2012-01-01,100.2735
2012-02-01,102.2040
2012-03-01,106.1577
2012-04-01,103.3210
2012-05-01,94.6545
2012-06-01,82.3033
2012-07-01,87.8952
2012-08-01,94.1313
2012-09-01,94.5137
2012-10-01,89.4913
2012-11-01,86.5314
2012-12-01,87.8595
2013-01-01,94.7567
2013-02-01,95.3089
2013-03-01,92.9385
2013-04-01,92.0214
2013-05-01,94.5095
2013-06-01,95.7725
2013-07-01,104.6709
2013-08-01,106.5727
2013-09-01,106.2895
2013-10-01,100.5383
2013-11-01,93.8640
2013-12-01,97.6252
2014-01-01,94.6171
2014-02-01,100.8174
2014-03-01,100.8038
2014-04-01,102.0690
2014-05-01,102.1771
2014-06-01,105.7943
2014-07-01,103.5886
2014-08-01,96.5362
2014-09-01,93.2119
2014-10-01,84.3970
2014-11-01,75.7895
2014-12-01,59.2905
2015-01-01,47.2190
2015-02-01,50.5842
2015-03-01,47.8236
2015-04-01,54.4529
2015-05-01,59.2650
2015-06-01,59.8195
2015-07-01,50.9009
2015-08-01,42.8676
2015-09-01,45.4795
2015-10-01,46.2236
2015-11-01,42.4435
2015-12-01,37.1886
2016-01-01,31.6832
2016-02-01,30.3230
2016-03-01,37.5464
2016-04-01,40.7552
2016-05-01,46.7124
2016-06-01,48.7573
2016-07-01,44.6515
2016-08-01,44.7243
2016-09-01,45.1824
2016-10-01,49.7752
2016-11-01,45.6610
2016-12-01,51.9705
2017-01-01,52.5040
2017-02-01,53.4684
2017-03-01,49.3278
2017-04-01,51.0605
2017-05-01,48.4764
2017-06-01,45.1777
2017-07-01,46.6305
2017-08-01,48.0370
2017-09-01,49.8220
2017-10-01,51.5777
2017-11-01,56.6386
2017-12-01,57.8815
2018-01-01,63.6986
2018-02-01,62.2295
2018-03-01,62.7248
2018-04-01,66.2538
2018-05-01,69.9782
2018-06-01,67.8733
2018-07-01,70.9814
2018-08-01,68.0557
2018-09-01,70.2321
2018-10-01,70.7487
2018-11-01,56.9635
2018-12-01,49.5228
2019-01-01,51.3757
2019-02-01,54.9547
2019-03-01,58.1514
2019-04-01,63.8624
2019-05-01,60.8268
2019-06-01,54.6575
2019-07-01,57.3581
2019-08-01,54.8059
2019-09-01,56.9470
2019-10-01,53.9630
2019-11-01,57.0489
2019-12-01,59.8167
2020-01-01,57.5190
2020-02-01,50.5426
2020-03-01,29.2077
2020-04-01,16.5476
2020-05-01,28.5625
2020-06-01,38.3073
2020-07-01,40.7105
2020-08-01,42.3390
2020-09-01,39.6343
2020-10-01,39.3959
2020-11-01,40.9374
2020-12-01,47.0250
2021-01-01,52.0084
2021-02-01,59.0463
2021-03-01,62.3330
2021-04-01,61.7167
2021-05-01,65.1695
2021-06-01,71.3782
2021-07-01,72.4852
2021-08-01,67.7305
2021-09-01,71.6462
2021-10-01,81.4767
2021-11-01,79.1475
2021-12-01,71.7118
2022-01-01,83.2220
2022-02-01,91.6411
2022-03-01,108.5026
2022-04-01,101.7775
2022-05-01,109.5524
2022-06-01,114.8371
2022-07-01,101.6190
2022-08-01,93.6652
2022-09-01,84.2581
2022-10-01,87.5548
2022-11-01,84.3705
2022-12-01,76.4371
2023-01-01,78.1230
2023-02-01,76.8326
2023-03-01,73.2778
2023-04-01,79.4463
2023-05-01,71.5782
2023-06-01,70.2481
2023-07-01,76.0695
2023-08-01,81.3861
2023-09-01,89.4250
2023-10-01,85.6395
2023-11-01,77.6850
2023-12-01,71.9000
